fid,id,left,top,right,bottom,built_sum,built_mean
"201","201",839426.551876033,651794.977131085,844426.551876033,646794.977131085,875.45684312284,0.294766613846074
"202","202",839426.551876033,646794.977131085,844426.551876033,641794.977131085,1250.22429473698,0.428746328784973
"203","203",839426.551876033,641794.977131085,844426.551876033,636794.977131085,7511.8672734201,2.57608617058302
"204","204",839426.551876033,636794.977131085,844426.551876033,631794.977131085,7515.50654709339,2.59872287243893
"205","205",839426.551876033,631794.977131085,844426.551876033,626794.977131085,2289.72044670582,3.58890352148247
"211","211",844426.551876033,676794.977131085,849426.551876033,671794.977131085,2079.30553436279,1.22745308994262
"212","212",844426.551876033,671794.977131085,849426.551876033,666794.977131085,963.109896466136,0.324607312593912
"213","213",844426.551876033,666794.977131085,849426.551876033,661794.977131085,845.338399022818,0.279543121369979
"214","214",844426.551876033,661794.977131085,849426.551876033,656794.977131085,506.269006863236,0.170460945071797
"215","215",844426.551876033,656794.977131085,849426.551876033,651794.977131085,487.130352705717,0.164016953772969
"216","216",844426.551876033,651794.977131085,849426.551876033,646794.977131085,484.064100883901,0.160021190374843
"217","217",844426.551876033,646794.977131085,849426.551876033,641794.977131085,789.490696564317,0.265821783354989
"218","218",844426.551876033,641794.977131085,849426.551876033,636794.977131085,1731.13533005118,0.582873848502082
"219","219",844426.551876033,636794.977131085,849426.551876033,631794.977131085,3609.82351481915,1.50159048037402
"220","220",844426.551876033,631794.977131085,849426.551876033,626794.977131085,180.04768538475,2.85789976801191
"226","226",849426.551876033,676794.977131085,854426.551876033,671794.977131085,1971.3360774219,1.04028289046011
"227","227",849426.551876033,671794.977131085,854426.551876033,666794.977131085,2229.83224955201,0.764688700120717
"228","228",849426.551876033,666794.977131085,854426.551876033,661794.977131085,1181.71902762353,0.397885194486038
"229","229",849426.551876033,661794.977131085,854426.551876033,656794.977131085,616.402124747634,0.21138618818506
"230","230",849426.551876033,656794.977131085,854426.551876033,651794.977131085,685.465042322874,0.235070316297282
"231","231",849426.551876033,651794.977131085,854426.551876033,646794.977131085,973.712966501713,0.32784948367061
"232","232",849426.551876033,646794.977131085,854426.551876033,641794.977131085,2081.83379980922,0.713934773597125
"233","233",849426.551876033,641794.977131085,854426.551876033,636794.977131085,2290.00530868769,0.787213925296558
"234","234",849426.551876033,636794.977131085,854426.551876033,631794.977131085,1107.72708928585,1.22265683144134
"241","241",854426.551876033,676794.977131085,859426.551876033,671794.977131085,1182.07573091984,0.515290205283277
"242","242",854426.551876033,671794.977131085,859426.551876033,666794.977131085,867.837277337909,0.297612235026718
"243","243",854426.551876033,666794.977131085,859426.551876033,661794.977131085,760.627880215645,0.256103663372271
"244","244",854426.551876033,661794.977131085,859426.551876033,656794.977131085,953.981090530753,0.327154009098338
"245","245",854426.551876033,656794.977131085,859426.551876033,651794.977131085,1025.41340397298,0.351650687233533
"246","246",854426.551876033,651794.977131085,859426.551876033,646794.977131085,2067.29861718416,0.696060140466048
"247","247",854426.551876033,646794.977131085,859426.551876033,641794.977131085,3532.72837650776,1.21149807150472
"248","248",854426.551876033,641794.977131085,859426.551876033,636794.977131085,1741.78244286776,0.613735885436137
"249","249",854426.551876033,636794.977131085,859426.551876033,631794.977131085,212.705621004105,0.897492071747277
"256","256",859426.551876033,676794.977131085,864426.551876033,671794.977131085,685.798065841198,0.466529296490611
"257","257",859426.551876033,671794.977131085,864426.551876033,666794.977131085,927.350248575211,0.325043900657277
"258","258",859426.551876033,666794.977131085,864426.551876033,661794.977131085,837.055488243699,0.27753829185799
"259","259",859426.551876033,661794.977131085,864426.551876033,656794.977131085,882.466381698847,0.29712672784473
"260","260",859426.551876033,656794.977131085,864426.551876033,651794.977131085,985.502698123455,0.331819090277258
"261","261",859426.551876033,651794.977131085,864426.551876033,646794.977131085,2662.3188149333,0.88010539336638
"262","262",859426.551876033,646794.977131085,864426.551876033,641794.977131085,1174.46218940616,0.395441814614868
"263","263",859426.551876033,641794.977131085,864426.551876033,636794.977131085,1111.27371066809,0.618061018169125
"272","272",864426.551876033,671794.977131085,869426.551876033,666794.977131085,951.030581355095,0.496881181481241
"273","273",864426.551876033,666794.977131085,869426.551876033,661794.977131085,1145.17276184261,0.405945679490467
"274","274",864426.551876033,661794.977131085,869426.551876033,656794.977131085,912.612106516957,0.312967114717749
"275","275",864426.551876033,656794.977131085,869426.551876033,651794.977131085,984.480238556862,0.337613250533903
"276","276",864426.551876033,651794.977131085,869426.551876033,646794.977131085,2640.80704537034,0.889160621336815
